form_id,sense_id,headword,form_type,form_word,source,human_review,review_reason
body_n_1_form_1,body_n_1,body,plural,bodies,ECDICT.exchange,F,
arm_n_1_form_1,arm_n_1,arm,plural,arms,ECDICT.exchange,F,
nose_n_1_form_1,nose_n_1,nose,plural,noses,ECDICT.exchange,F,
mouth_n_1_form_1,mouth_n_1,mouth,plural,mouths,ECDICT.exchange,F,
childhood_n_1_form_1,childhood_n_1,childhood,plural,childhoods,ECDICT.exchange,F,
skin_n_1_form_1,skin_n_1,skin,plural,skins,ECDICT.exchange,F,
ear_n_1_form_1,ear_n_1,ear,plural,ears,ECDICT.exchange,F,
leg_n_1_form_1,leg_n_1,leg,plural,legs,ECDICT.exchange,F,
tooth_n_1_form_1,tooth_n_1,tooth,plural,teeth,ECDICT.exchange,F,
look_n_1_form_5,look_n_1,look,plural,looks,ECDICT.exchange,F,
laugh_v_1_form_1,laugh_v_1,laugh,past,laughed,ECDICT.exchange,F,
laugh_v_1_form_2,laugh_v_1,laugh,present_participle,laughing,ECDICT.exchange,F,
laugh_v_1_form_3,laugh_v_1,laugh,third_person_singular,laughs,ECDICT.exchange,F,
laugh_v_1_form_4,laugh_v_1,laugh,past_participle,laughed,ECDICT.exchange,F,
voice_n_1_form_1,voice_n_1,voice,plural,voices,ECDICT.exchange,F,
smile_v_1_form_1,smile_v_1,smile,past,smiled,ECDICT.exchange,F,
smile_v_1_form_2,smile_v_1,smile,present_participle,smiling,ECDICT.exchange,F,
smile_v_1_form_4,smile_v_1,smile,third_person_singular,smiles,ECDICT.exchange,F,
smile_v_1_form_5,smile_v_1,smile,past_participle,smiled,ECDICT.exchange,F,
appearance_n_1_form_1,appearance_n_1,appearance,plural,appearances,ECDICT.exchange,F,
cute_adj_1_form_1,cute_adj_1,cute,superlative,cutest,ECDICT.exchange,F,
cute_adj_1_form_2,cute_adj_1,cute,comparative,cuter,ECDICT.exchange,F,
handsome_adj_1_form_1,handsome_adj_1,handsome,superlative,handsomest,ECDICT.exchange,F,
handsome_adj_1_form_2,handsome_adj_1,handsome,comparative,handsomer,ECDICT.exchange,F,
beard_n_1_form_1,beard_n_1,beard,plural,beards,ECDICT.exchange,F,
slim_adj_1_form_1,slim_adj_1,slim,comparative,slimmer,ECDICT.exchange,F,
slim_adj_1_form_6,slim_adj_1,slim,superlative,slimmest,ECDICT.exchange,F,
care_v_1_form_1,care_v_1,care,past,cared,ECDICT.exchange,F,
care_v_1_form_2,care_v_1,care,third_person_singular,cares,ECDICT.exchange,F,
care_v_1_form_3,care_v_1,care,past_participle,cared,ECDICT.exchange,F,
care_v_1_form_4,care_v_1,care,present_participle,caring,ECDICT.exchange,F,
support_v_1_form_1,support_v_1,support,past_participle,supported,ECDICT.exchange,F,
support_v_1_form_2,support_v_1,support,present_participle,supporting,ECDICT.exchange,F,
support_v_1_form_3,support_v_1,support,third_person_singular,supports,ECDICT.exchange,F,
support_v_1_form_4,support_v_1,support,past,supported,ECDICT.exchange,F,
love_v_1_form_1,love_v_1,love,past,loved,ECDICT.exchange,F,
love_v_1_form_2,love_v_1,love,third_person_singular,loves,ECDICT.exchange,F,
love_v_1_form_3,love_v_1,love,past_participle,loved,ECDICT.exchange,F,
love_v_1_form_4,love_v_1,love,present_participle,loving,ECDICT.exchange,F,
help_v_1_form_1,help_v_1,help,past_participle,helped,ECDICT.exchange,F,
help_v_1_form_2,help_v_1,help,present_participle,helping,ECDICT.exchange,F,
help_v_1_form_3,help_v_1,help,past,helped,ECDICT.exchange,F,
help_v_1_form_4,help_v_1,help,third_person_singular,helps,ECDICT.exchange,F,
live_v_1_form_1,live_v_1,live,past,lived,ECDICT.exchange,F,
live_v_1_form_2,live_v_1,live,present_participle,living,ECDICT.exchange,F,
live_v_1_form_3,live_v_1,live,third_person_singular,lives,ECDICT.exchange,F,
live_v_1_form_4,live_v_1,live,past_participle,lived,ECDICT.exchange,F,
share_v_1_form_2,share_v_1,share,past_participle,shared,ECDICT.exchange,F,
share_v_1_form_3,share_v_1,share,present_participle,sharing,ECDICT.exchange,F,
share_v_1_form_4,share_v_1,share,past,shared,ECDICT.exchange,F,
share_v_1_form_5,share_v_1,share,third_person_singular,shares,ECDICT.exchange,F,
visit_v_1_form_1,visit_v_1,visit,past,visited,ECDICT.exchange,F,
visit_v_1_form_3,visit_v_1,visit,past_participle,visited,ECDICT.exchange,F,
visit_v_1_form_4,visit_v_1,visit,present_participle,visiting,ECDICT.exchange,F,
visit_v_1_form_5,visit_v_1,visit,third_person_singular,visits,ECDICT.exchange,F,
meet_v_1_form_1,meet_v_1,meet,past,met,ECDICT.exchange,F,
meet_v_1_form_2,meet_v_1,meet,past_participle,met,ECDICT.exchange,F,
meet_v_1_form_3,meet_v_1,meet,present_participle,meeting,ECDICT.exchange,F,
meet_v_1_form_4,meet_v_1,meet,third_person_singular,meets,ECDICT.exchange,F,
relationship_n_1_form_1,relationship_n_1,relationship,plural,relationships,ECDICT.exchange,F,
remember_v_1_form_1,remember_v_1,remember,past,remembered,ECDICT.exchange,F,
remember_v_1_form_2,remember_v_1,remember,past_participle,remembered,ECDICT.exchange,F,
remember_v_1_form_3,remember_v_1,remember,present_participle,remembering,ECDICT.exchange,F,
remember_v_1_form_4,remember_v_1,remember,third_person_singular,remembers,ECDICT.exchange,F,
know_v_1_form_1,know_v_1,know,past,knew,ECDICT.exchange,F,
know_v_1_form_2,know_v_1,know,past_participle,known,ECDICT.exchange,F,
know_v_1_form_3,know_v_1,know,third_person_singular,knows,ECDICT.exchange,F,
know_v_1_form_4,know_v_1,know,present_participle,knowing,ECDICT.exchange,F,
nice_adj_1_form_1,nice_adj_1,nice,comparative,nicer,ECDICT.exchange,F,
nice_adj_1_form_2,nice_adj_1,nice,superlative,nicest,ECDICT.exchange,F,
kind_adj_1_form_2,kind_adj_1,kind,comparative,kinder,ECDICT.exchange,F,
kind_adj_1_form_3,kind_adj_1,kind,superlative,kindest,ECDICT.exchange,F,
respect_v_1_form_2,respect_v_1,respect,past_participle,respected,ECDICT.exchange,F,
respect_v_1_form_3,respect_v_1,respect,past,respected,ECDICT.exchange,F,
respect_v_1_form_4,respect_v_1,respect,third_person_singular,respects,ECDICT.exchange,F,
respect_v_1_form_5,respect_v_1,respect,present_participle,respecting,ECDICT.exchange,F,
culture_n_1_form_1,culture_n_1,culture,plural,cultures,ECDICT.exchange,F,
friendly_adj_1_form_1,friendly_adj_1,friendly,comparative,friendlier,ECDICT.exchange,F,
friendly_adj_1_form_3,friendly_adj_1,friendly,superlative,friendliest,ECDICT.exchange,F,
community_n_1_form_1,community_n_1,community,plural,communities,ECDICT.exchange,F,
